bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-0031121_ses-SSV12_task-MOVIE2p5MM_bold	0.00038559523809523805	0.007438429357142858	0	47.10290401708828	1.0701125178997617	1.0181907330548936	0.6140143050670617	196.82034301757812	0.10403758926977076	9	2.142857142857143	2.7377022271957134	2.5241205309691828	2.8368152068203982	2.8521709437975598	0.0974049	-0.021379899233579636	0.07203418761491776	420	78	78	54	2.6143894307669804	1.4500000476837158	2.461538553237915	2.461538553237915	2.500011444091797	56.6371033106168	5.888339042663574	54.29021453857422	30.5925235748291	175753.0	25.19688301086426	178.99143066406242	71.00919342041016	2.002494612391911	152.76834106445312	491.8751220703125	459.28564453125	93573.0	272.04937744140625	816.4377685546874	175.6751251220703	29.408977508544922
sub-0031121_ses-SSV12_task-RESTINGSTATE2p5MM_bold	0.0005005952380952381	0.008664220285714286	0	47.04003050431977	1.0484898389260133	0.9759398694033411	0.616501794615973	185.8109893798828	0.0998108489402302	2	0.47619047619047616	2.748222434243321	2.5298567807554906	2.848283643893166	2.8665268780813076	0.052969	-0.022700930014252663	0.0741618424654007	420	78	78	54	2.629247143769106	1.4500000476837158	2.461538553237915	2.461538553237915	2.500011444091797	57.30784607124658	7.376716136932373	55.493896484375	31.777381896972656	175281.0	25.02911949157715	181.2713165283203	72.05896759033203	1.731636044071096	153.94825744628906	496.98095703125	463.6365966796875	93981.0	276.7754211425781	826.5313110351562	176.33721923828125	27.753829956054688
sub-0031121_ses-SSV13_task-FLANKERTASK_bold	0.00039242857142857146	0.006647510928571428	0	45.61712123023869	1.04840090026253	1.0515407992601433	0.6183237360188814	185.87818908691406	0.09680253539360054	1	0.23809523809523808	2.7206062471959935	2.4968936569834628	2.838919581742004	2.8260055028625137	0.0674277	-0.021885816007852554	0.08136043697595596	420	78	78	54	2.667595458622107	1.4500000476837158	2.461538553237915	2.461538553237915	2.500030517578125	44.89857002320177	6.027163505554199	54.3885612487793	30.56761360168457	176739.0	25.234856414794923	181.3716003417969	68.56050109863281	1.9316971261302731	147.48788452148438	476.45794677734375	446.5518798828125	93035.0	262.767919921875	784.2510070800781	167.3977508544922	30.196670532226562
sub-0031121_ses-SSV13_task-INSCAPES2p5MM_bold	0.0003206904761904762	0.0073046280000000005	0	45.07058166861577	1.040729862959427	1.0583118160143203	0.6184590051251376	184.3083038330078	0.09510012167391221	4	0.9523809523809523	2.710155962589733	2.4908852197072946	2.8254930197421824	2.814089648319723	0.0677004	-0.02224978804588318	0.08375812321901321	420	78	78	54	2.6674691490210716	1.4500000476837158	2.461538553237915	2.461538553237915	2.500030517578125	45.22271377145845	5.985956192016602	54.702823638916016	30.547651290893555	177043.0	25.171468925476074	182.51180725097652	70.3873519897461	2.0260184544083613	146.0741424560547	473.2080993652344	443.07281494140625	92783.0	262.0766082763672	777.5702026367186	166.10142517089844	30.211610794067383
sub-0031121_ses-SSV13_task-MOVIE2p5MM_bold	0.00039019047619047616	0.006170930619047619	0	45.78136296620526	1.0548778649880668	1.000461945346062	0.6179851943984639	185.24240112304688	0.091352295263459	3	0.7142857142857143	2.7044068802667254	2.4898086572473996	2.8146542701459576	2.808757713406819	0.0550501	-0.02070651762187481	0.07979050278663635	420	78	78	54	2.6794427435034462	1.4500000476837158	2.461538553237915	2.461538553237915	2.500030517578125	41.45477841189965	5.645720481872559	53.61247253417969	30.28975486755371	177164.0	25.112659072875974	179.2746498107911	66.96150970458984	2.035143641644942	144.90478515625	470.20697021484375	440.5487060546875	92530.0	260.8486907958984	771.2869873046875	164.41714477539062	31.102266311645508
sub-0031121_ses-SSV13_task-RESTINGSTATE2p5MM_bold	0.0004418095238095238	0.0069335706428571425	0	44.604977646491626	1.02179355326969	0.990354733293557	0.6182805464777662	184.0291748046875	0.11273459905953327	16	3.8095238095238093	2.725929073450066	2.5078095940768126	2.837140206808291	2.8328374194650943	0.0592923	-0.0219939686357975	0.08396930247545242	420	78	78	54	2.674892650944526	1.4500000476837158	2.461538553237915	2.461538553237915	2.500030517578125	48.26484547834635	5.650712966918945	54.23868942260742	30.233055114746094	177085.0	25.094811630249023	179.8991271972655	70.59530639648438	2.018302950647575	144.51109313964844	467.4501647949219	438.5966796875	92725.0	258.5626770019531	767.563037109375	163.96707153320312	29.893878936767578
sub-0031121_ses-SSV14_task-FLANKERTASK_bold	0.00039247619047619043	0.007718055738095238	0	46.755184628973765	1.0354779512410495	0.9994855524105001	0.6209527987375036	166.99583435058594	0.08239392093436884	1	0.23809523809523808	2.770241585169826	2.554833029825053	2.8591711434875746	2.89672058219685	0.0660594	-0.010674281977117062	0.08004799485206604	420	78	78	54	2.528360497200379	1.4500000476837158	2.461538553237915	2.461538553237915	2.4998130798339844	50.691401790861775	6.578029632568359	56.0090217590332	30.90068244934082	176341.0	25.02755355834961	183.06541442871094	72.99366760253906	3.253593211837611	142.60916137695312	459.48370361328125	426.8980712890625	93336.0	251.2838897705078	764.2740936279297	168.84292602539062	28.816740036010742
sub-0031121_ses-SSV14_task-INSCAPES2p5MM_bold	0.0003640238095238095	0.008950084595238095	0	46.84337632365155	1.0362887754415269	0.9877788410501194	0.6207907038293125	168.1038055419922	0.08150352365522609	3	0.7142857142857143	2.768378980286611	2.554589279834133	2.8471745814344813	2.903373079591217	0.0459598	-0.01089794933795929	0.0767209529876709	420	78	78	54	2.533956219395424	1.4500000476837158	2.461538553237915	2.461538553237915	2.4998130798339844	47.212127603733045	6.067980766296387	56.22846603393555	30.77207374572754	176687.0	25.318407249450683	184.6179275512695	73.66373443603516	3.2196026279783068	142.46810913085938	459.1631164550781	426.6361389160156	92978.0	251.51801452636718	763.7363861083984	168.36669921875	28.697669982910156
sub-0031121_ses-SSV14_task-MOVIE2p5MM_bold	0.0005568809523809523	0.008444501357142857	0	46.137376908233904	1.0218163774462996	1.3315232199283993	0.6214093738864344	167.11480712890625	0.07558388630205892	1	0.23809523809523808	2.7787067854175906	2.5557308422916067	2.8714480180302253	2.90894149593094	0.0777981	-0.010618909262120724	0.08038102835416794	420	78	78	54	2.5385200380746356	1.4500000476837158	2.461538553237915	2.461538553237915	2.4998130798339844	51.81594023821835	6.933221817016602	55.75813674926758	30.97623062133789	175884.0	24.589417743682862	180.56149597167976	72.08155822753906	3.242261470035765	141.6361083984375	460.8874816894531	427.6580810546875	93632.0	253.32226181030273	764.5923889160155	168.46658325195312	27.1645450592041
sub-0031121_ses-SSV14_task-RESTINGSTATE2p5MM_bold	0.00025873809523809524	0.007660333214285714	0	46.92442512059666	1.0443417216945114	1.0535735027923623	0.6207770226703258	167.5439910888672	0.08622568449019306	4	0.9523809523809523	2.7545719345275823	2.5443964677138453	2.8470445814393246	2.872274754429576	0.05191	-0.010751528665423393	0.08028290420770645	420	78	78	54	2.5339059309900724	1.4500000476837158	2.461538553237915	2.461538553237915	2.4998130798339844	49.59652764819385	6.278370380401611	56.39091110229492	30.807119369506836	176406.0	25.09735107421875	184.4489860534668	74.93779754638672	3.2746180299906946	142.2173309326172	458.6756591796875	426.2032470703125	93149.0	251.30978698730468	762.4244995117188	168.19920349121094	29.788169860839844
